class_id,class_name,model,split,threshold,n,n_pos,pos_frac,acc,prec,rec,f1,iou,auc,features,n_train_balanced,pos_frac_train
40,cropland,XGB,test,0.6803,151552,5560,0.0367,0.9274,0.2934,0.6959,0.4128,0.2601,0.9112,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",25578,0.1667
40,cropland,XGB,val,0.6803,200704,423,0.0021,0.9360,0.0153,0.4634,0.0296,0.0150,0.8476,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",25578,0.1667
40,cropland,U-Net,test,0.2566,151552,5560,0.0367,0.9539,0.0090,0.0023,0.0037,0.0019,0.6689,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",210,0.0051
40,cropland,U-Net,val,0.2566,200704,423,0.0021,0.9904,0.0124,0.0449,0.0194,0.0098,0.6784,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",210,0.0051
50,built_up,LogReg,test,0.3926,151552,71967,0.4749,0.7899,0.7263,0.8946,0.8017,0.6691,0.8432,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.5061
50,built_up,LogReg,val,0.3926,200704,105914,0.5277,0.7828,0.7556,0.8696,0.8086,0.6788,0.8413,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.5061
50,built_up,RF,test,0.4288,151552,71967,0.4749,0.8397,0.7784,0.9261,0.8459,0.7329,0.9252,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.5061
50,built_up,RF,val,0.4288,200704,105914,0.5277,0.8274,0.7951,0.9064,0.8471,0.7348,0.9091,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.5061
50,built_up,XGB,test,0.3750,151552,71967,0.4749,0.8419,0.7760,0.9376,0.8492,0.7379,0.9284,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.5061
50,built_up,XGB,val,0.3750,200704,105914,0.5277,0.8250,0.7860,0.9185,0.8471,0.7348,0.9090,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",839680,0.5061
50,built_up,U-Net,test,0.4966,151552,71967,0.4749,0.8465,0.8007,0.9011,0.8479,0.7360,0.9317,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",210,0.5061
50,built_up,U-Net,val,0.4966,200704,105914,0.5277,0.8407,0.8181,0.8977,0.8561,0.7484,0.9213,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",210,0.5061
80,water,LogReg,test,0.8264,151552,27337,0.1804,0.9767,0.9652,0.9033,0.9332,0.8748,0.9774,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",696612,0.1667
80,water,LogReg,val,0.8264,200704,19287,0.0961,0.9801,0.9132,0.8760,0.8942,0.8086,0.9715,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",696612,0.1667
80,water,RF,test,0.6435,151552,27337,0.1804,0.9781,0.9713,0.9051,0.9371,0.8816,0.9805,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",696612,0.1667
80,water,RF,val,0.6435,200704,19287,0.0961,0.9855,0.9720,0.8745,0.9207,0.8531,0.9759,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",696612,0.1667
80,water,XGB,test,0.8341,151552,27337,0.1804,0.9804,0.9751,0.9149,0.9441,0.8940,0.9825,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",696612,0.1667
80,water,XGB,val,0.8341,200704,19287,0.0961,0.9872,0.9726,0.8919,0.9305,0.8701,0.9804,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",696612,0.1667
80,water,U-Net,test,0.4279,151552,27337,0.1804,0.9758,0.9490,0.9149,0.9316,0.8720,0.9905,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",210,0.1383
80,water,U-Net,val,0.4279,200704,19287,0.0961,0.9855,0.9606,0.8859,0.9217,0.8548,0.9916,"Sentinel-2_B02,Sentinel-2_B03,Sentinel-2_B04,Sentinel-2_B08,Sentinel-1_VV,Sentinel-1_VH",210,0.1383
